startTime	endTime	Composition	Text	Address
0:49:25	0:56:10	Scripture	Wer mir seinen Dank zeigt, der bringt mir ein Opfer dar, das mich ehrt.	Psalm 50,23
1:54:10	2:14:01	Lower Third YouTube	1. [FÜR SEIN WESEN]
2:59:06	3:16:29	Scripture	Gross ist der Herr! Jeder soll ihn rühmen! Seine Größe kann niemand erfassen.	Psalm 145,3
3:43:00	3:52:19	Scripture	Dankt ihm und denkt daran, dass er heilig ist.	Psalm 97,12
4:06:16	4:15:16	Scripture	Sie sollen dem Herrn für seine Gnade danken.	Psalm 107,8
4:53:18	5:01:03	Scripture	Ich will dem Herrn danken, denn er ist gerecht.	Psalm 7,18
5:22:16	5:31:11	Scripture	...ich will dir danken, Herr, weil du so gütig bist.	Psalm 54,8
6:15:24	6:36:27	Scripture	Dankt dem Herrn, denn er ist gut, und seine Gnade hört niemals auf!”	Psalm 118,1
7:54:01	8:13:04	Lower Third YouTube	- Durch [Singen von ganzem Herzen]
9:14:08	9:26:18	Scripture	Singt dem HERRN ein Danklied und lobt unsern Gott mit Harfen.	Psalm 147,7
11:02:06	11:22:26	Lower Third YouTube	- Durch [Dankgebete]
11:49:14	11:59:04	Scripture	Fragt nach dem Herrn, und rechnet mit seiner Macht, wendet euch immer wieder an ihn!	Psalm 105,4
13:01:18	13:19:00	Scripture	Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula velit id metus ultricies auctor. Nullam sit amet ex nisl. Donec sit amet lobortis lacus. Curabitur quis tortor augue. Sed vel mollis erat, eget condimentum augue. Donec risus lacus, feugiat id maximus nec, convallis vitae odio. Sed vulputate pulvinar lorem et cursus. Nunc mattis, lorem vitae dapibus convallis, nisi nulla cursus est, sed accumsan leo turpis sed ante. Nullam sagittis, augue ac sollicitudin finibus, ligula nibh mollis enim, nec bibendum lacus nisi ut quam. Donec ultricies dui eu lorem laoreet, sit amet luctus est molestie. Mauris mollis cursus lorem fringilla tempus. Suspendisse tristique viverra bibendum. Praesent ante lacus, pellentesque eget commodo sed, condimentum at neque. Vestibulum non nibh erat. Aenean porta ante at pretium pharetra..	Psalm 145,3
13:18:05	13:27:18	Scripture	Dankt ihm und denkt daran, dass er heilig ist.	Psalm 97,12
13:26:23	13:35:22	Scripture	Sie sollen dem Herrn für seine Gnade danken.	Psalm 107,8
13:34:27	13:43:03	Scripture	Ich will dem Herrn danken, denn er ist gerecht.	Psalm 7,18
13:57:11	14:14:25	Lower Third YouTube	2. [FÜR SEIN TUN]
14:25:00	14:34:01	Scripture	Gott, ewig will ich dir für alles, was du getan hast, danken.	Psalm 52,11
14:44:17	14:54:15	Scripture	Sie alle sollen den Herrn loben! Denn auf seinen Befehl wurden sie erschaffen.	Psalm 148,5
15:03:16	15:11:22	Scripture	Ich juble vor Freude… denn du hast mich errettet.	Psalm 71,23
15:14:22	15:22:22	Scripture	Ich danke dir, dass du mein Gebet erhört…	Psalm 118, 21
15:33:21	15:42:28	Scripture	Ich preise den Herrn, der mir sagt, was ich tun soll…	Psalm 16,7
16:04:16	16:39:23	Scripture	Denn vorher wart ihr tot aufgrund eurer Schuld und weil euer altes Ich euch bestimmt hat. Doch Gott hat euch mit Christus lebendig gemacht. Er hat uns alle unsere Schuld vergeben.”	Kolosser 2,13
16:51:02	17:06:08	Scripture	Denn vorher wart ihr tot aufgrund eurer Schuld und weil euer altes Ich euch bestimmt hat. Doch Gott hat euch mit Christus lebendig gemacht. Er hat uns alle unsere Schuld vergeben.”	Kolosser 2,13
17:31:03	17:43:13	Lower Third YouTube	- Indem [ich anderen die gute Nachricht weitersage]
17:40:09	17:51:07	Scripture	Dankt dem Herrn! Ruft seinen Namen an! Sagt der ganzen Welt, was er getan hat. Erzählt allen, wie gross sein Name ist!	Jesaja 12,4
19:49:04	19:56:13	Lower Third YouTube	- Indem [ich spende]
19:57:25	20:08:01	Scripture	Bringt dem Herrn eure Opfergabe um euren Dank auszudrücken. Gebt ihm das, was ihr ihm versprochen habt.	Psalm 50,14
20:42:28	21:02:00	Scripture	Sieben Wochen nach Beginn der Getreideernte sollt ihr zur Ehre des Herrn, eures Gottes, das Wochenfest feiern. Bringt ihm dann eure reichlichen Opfergaben, je nachdem, wie reich er euch beschenkt hat!	5. Mose 16,9-10
22:01:15	22:26:08	Scripture	 Ihr werdet alles so reichlich haben, dass ihr unbesorgt weitergeben könnt. Wenn wir dann eure Gabe überbringen, werden viele Menschen Gott dafür danken. Eure Gabe hätte demnach zwei gute Auswirkungen: Sie wäre nicht nur eine Hilfe für die notleidenden Christen in Jerusalem, sie würde auch bewirken, dass viele Menschen Gott danken.	2. Korinther 9,11-12
22:46:29	23:10:06	Lower Third YouTube	3. [FÜR SEINE VERSPRECHEN]
23:29:01	23:41:11	Scripture	Ich lobe dich mein Gott, denn du hältst deine Versprechen!”	Psalm 71,22
24:02:28	24:17:19	Scripture	Jesus: “Ich bin die Auferstehung und das Leben. Wer an mich glaubt, wird leben, auch wenn er stirbt.	Johannes 11,25
24:55:26	25:20:06	Scripture	Wenn ihr für ihn lebt und das Reich Gottes zu eurem wichtigsten Anliegen macht, wird er euch jeden Tag geben, was ihr braucht.	Matthäus 6,33
27:21:16	27:32:25	Scripture	Ich werde dich nie verlassen und dich nicht im Stich lassen.	Hebräer 13,5
28:43:06	29:03:19	Full Screen	- Indem [ich ihm diene mit den Fähigkeiten, die er mir gegeben hat]
29:42:07	29:51:18	Scripture	Dafür wollen wir Gott von Herzen danken und ihm voller Ehrfurcht dienen, damit er Freude an uns hat.	Hebräer 12,28
31:50:28	32:04:00	Full Screen	- Indem [wir jeden Tag als ein Dankeschön für Gott leben]
32:02:05	32:11:24	Scripture	All euer Tun - euer Reden wie euer Handeln - soll im Namen unseres Herrn Jesus geschehen, und so von eurer Dankbarkeit erzählen.	Kolosser 3,17
32:28:17	32:39:01	Scripture	All euer Tun - euer Reden wie euer Handeln - soll im Namen unseres Herrn Jesus geschehen, und so von eurer Dankbarkeit erzählen.	Kolosser 3,17
32:51:13	33:09:11	Scripture	Dankt Gott in jeder Lebenslage! Das will Gott von euch als Menschen, die mit Jesus Christus verbunden sind.	1. Thessalonicher 5,18
34:24:03	34:30:19	Scripture	Und dann wird euer Leben überfließen von Dankbarkeit für alles, was er getan hat.	Kolosser 2,7
